,cand_id,cand_name,cand_pty_affliation,result
31,H0CA100732014,"DESAULNIER, MARK                                                                                                                                                                                        ",DEM,1
32,H0CA101492012,"GARAMENDI, JOHN                                                                                                                                                                                         ",DEM,1
33,H0CA101492014,"GARAMENDI, JOHN                                                                                                                                                                                         ",DEM,1
34,H0CA113372014,"AMADOR, ANTONIO CANDIA                                                                                                                                                                                  ",REP,0
35,H0CA140752012,"CHAPMAN, DAVE                                                                                                                                                                                           ",DEM,0
36,H0CA151482014,"HONDA, MIKE                                                                                                                                                                                             ",DEM,1
37,H0CA151482012,"HONDA, MIKE                                                                                                                                                                                             ",DEM,1
38,H0CA171852014,"KABAT, RONALD PAUL                                                                                                                                                                                      ",NNE,0
39,H0CA171852012,"KABAT, RONALD P.                                                                                                                                                                                        ",NPA,0
40,H0CA190822014,"HERNANDEZ, JOHN STEPHEN                                                                                                                                                                                 ",DEM,0
41,H0CA190822012,"HERNANDEZ, JOHN S                                                                                                                                                                                       ",DEM,0
42,H0CA191732014,"DENHAM, JEFF                                                                                                                                                                                            ",REP,1
43,H0CA191732012,"DENHAM, JEFF                                                                                                                                                                                            ",REP,1
44,H0CA260872012,"MILLER, DAVID LAWRENCE                                                                                                                                                                                  ",REP,0
45,H0CA260872012,"MILLER, DAVID LAWRENCE                                                                                                                                                                                  ",REP,0
46,H0CA270852014,"SCHIFF, ADAM                                                                                                                                                                                            ",DEM,1
47,H0CA270852012,"SCHIFF, ADAM                                                                                                                                                                                            ",DEM,1
48,H0CA321012012,"CHU, JUDY                                                                                                                                                                                               ",DEM,1
49,H0CA321012014,"CHU, JUDY                                                                                                                                                                                               ",DEM,1
50,H0CA331172012,"BASS, KAREN                                                                                                                                                                                             ",DEM,1
51,H0CA331172014,"BASS, KAREN                                                                                                                                                                                             ",DEM,1
52,H0CA331332012,"JENNERJAHN, PHIL                                                                                                                                                                                        ",REP,0
53,H0CA340992012,"SANCHEZ, DAVID                                                                                                                                                                                          ",DEM,1
54,H0CA340992014,"SANCHEZ, DAVID                                                                                                                                                                                          ",DEM,1
55,H0CA480242012,"ISSA, DARRELL                                                                                                                                                                                           ",REP,1
56,H0CA480242014,"ISSA, DARRELL                                                                                                                                                                                           ",REP,1
57,H0CA490552012,"DAVIS, SUSAN A                                                                                                                                                                                          ",DEM,1
58,H0CA490552014,"DAVIS, SUSAN                                                                                                                                                                                            ",DEM,1
59,H0CA510362012,"POPADITCH, NICHOLAS ALLEN                                                                                                                                                                               ",REP,0
60,H0CA510362012,"POPADITCH, NICHOLAS ALLEN                                                                                                                                                                               ",REP,0
61,H0CO041222012,"GARDNER, CORY                                                                                                                                                                                           ",REP,1
62,H0CO041222014,"GARDNER, CORY                                                                                                                                                                                           ",REP,1
63,H0CT030722014,"DELAURO, ROSA L                                                                                                                                                                                         ",DEM,1
64,H0CT030722012,"DELAURO, ROSA L                                                                                                                                                                                         ",DEM,1
65,H0CT041462014,"DEBICELLA, DAN                                                                                                                                                                                          ",REP,0
66,H0CT041462010,"DEBICELLA, DAN                                                                                                                                                                                          ",REP,0
67,H0CT051272014,"PISTONE, JOHN                                                                                                                                                                                           ",REP,0
68,H0CT051272012,"PISTONE, JOHN                                                                                                                                                                                           ",UNK,0
69,H0CT051502014,"GREENBERG, MARK                                                                                                                                                                                         ",REP,0
70,H0CT051502012,"GREENBERG, MARK DANIEL                                                                                                                                                                                  ",REP,0
71,H0DE010172014,"CARNEY, JOHN                                                                                                                                                                                            ",DEM,1
72,H0DE010172012,"CARNEY, JOHN CHARLES JR                                                                                                                                                                                 ",DEM,1
73,H0DE010252014,"IZZO, ROSE                                                                                                                                                                                              ",REP,0
74,H0DE010252012,"IZZO, ROSE                                                                                                                                                                                              ",REP,0
75,H0FL020862012,"LAWSON, ALFRED J JR                                                                                                                                                                                     ",DEM,0
76,H0FL020862012,"LAWSON, ALFRED J JR                                                                                                                                                                                     ",DEM,0
77,H0FL021102014,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,1
78,H0FL021102012,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,1
79,H0FL021102014,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,0
80,H0FL021102012,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,0
81,H0FL021362014,"NETHERWOOD, RAYMOND HEATH                                                                                                                                                                               ",LIB,0
82,H0FL031002012,"KOLB, EUNA LEANNE                                                                                                                                                                                       ",REP,0
83,H0FL031002012,"KOLB, EUNA LEANNE                                                                                                                                                                                       ",REP,0
84,H0FL040662014,"CRENSHAW, ANDER                                                                                                                                                                                         ",REP,1
85,H0FL040662012,"CRENSHAW, ANDER HON.                                                                                                                                                                                    ",REP,1
86,H0FL051392014,"NUGENT, RICHARD B                                                                                                                                                                                       ",REP,1
87,H0FL051392012,"NUGENT, RICHARD B                                                                                                                                                                                       ",REP,1
88,H0FL070772012,"BEAVEN, HEATHER M                                                                                                                                                                                       ",DEM,0
89,H0FL070772012,"BEAVEN, HEATHER M                                                                                                                                                                                       ",DEM,0
90,H0FL082082014,"WEBSTER, DANIEL                                                                                                                                                                                         ",REP,1
91,H0FL082082012,"WEBSTER, DANIEL                                                                                                                                                                                         ",REP,1
92,H0FL121012014,"ROSS, DENNIS ALAN                                                                                                                                                                                       ",REP,1
93,H0FL121012012,"ROSS, DENNIS ALAN                                                                                                                                                                                       ",REP,1
94,H0FL140652012,"ROACH, JAMES LLOYD                                                                                                                                                                                      ",DEM,0
95,H0FL140652012,"ROACH, JAMES LLOYD                                                                                                                                                                                      ",DEM,0
96,H0FL150542012,"ROBERTS, SHANNON                                                                                                                                                                                        ",DEM,0
97,H0FL150542012,"ROBERTS, SHANNON                                                                                                                                                                                        ",DEM,0
98,H0FL170682012,"WILSON, FREDERICA S                                                                                                                                                                                     ",DEM,1
99,H0FL170682014,"WILSON, FREDERICA S                                                                                                                                                                                     ",DEM,1
100,H0FL180252012,"ROS-LEHTINEN, ILEANA                                                                                                                                                                                    ",REP,1
101,H0FL180252014,"ROS-LEHTINEN, ILEANA                                                                                                                                                                                    ",REP,1
102,H0FL190802012,"DEUTCH, THEODORE ELIOT                                                                                                                                                                                  ",DEM,1
103,H0FL190802014,"DEUTCH, THEODORE ELIOT                                                                                                                                                                                  ",DEM,1
104,H0FL200702012,"HARRINGTON, KAREN                                                                                                                                                                                       ",REP,0
105,H0FL200702014,"HARRINGTON, KAREN                                                                                                                                                                                       ",REP,0
106,H0FL201042012,"BLUMENTHAL, STANLEY                                                                                                                                                                                     ",OTH,0
107,H0FL201042012,"BLUMENTHAL, STANLEY                                                                                                                                                                                     ",OTH,0
108,H0FL250382012,"RIVERA, DAVID                                                                                                                                                                                           ",REP,0
109,H0FL250382014,"RIVERA, DAVID                                                                                                                                                                                           ",REP,0
110,H0GA071252010,"HICE, JODY B MR                                                                                                                                                                                         ",REP,1
111,H0GA071252014,"HICE, JODY                                                                                                                                                                                              ",REP,1
112,H0GA071332012,"WOODALL, ROB                                                                                                                                                                                            ",UNK,1
113,H0GA071332014,"WOODALL, ROB REP.                                                                                                                                                                                       ",REP,1
114,H0GA080992012,"SCOTT, JAMES AUSTIN                                                                                                                                                                                     ",REP,1
115,H0GA080992014,"SCOTT, JAMES AUSTIN                                                                                                                                                                                     ",REP,1
116,H0GA090302012,"GRAVES, JOHN THOMAS MR. JR.                                                                                                                                                                             ",REP,1
117,H0GA090302014,"GRAVES, JOHN THOMAS MR. JR.                                                                                                                                                                             ",REP,1
118,H0HI011572012,"DJOU, CHARLES K                                                                                                                                                                                         ",REP,0
119,H0HI011572014,"DJOU, CHARLES K                                                                                                                                                                                         ",REP,0
120,H0IA011172012,"LANGE, BEN                                                                                                                                                                                              ",REP,0
121,H0IA011172012,"LANGE, BEN                                                                                                                                                                                              ",REP,0
122,H0IA051002012,"MONROE, MARTIN JAMES                                                                                                                                                                                    ",IND,0
123,H0ID012532012,"LABRADOR, RAUL                                                                                                                                                                                          ",REP,1
124,H0ID012532014,"LABRADOR, RAUL R. REP.                                                                                                                                                                                  ",REP,1
125,H0ID020532012,"CHAPPELL, JACK WAYNE                                                                                                                                                                                    ",DEM,0
126,H0IL050962014,"QUIGLEY, MIKE                                                                                                                                                                                           ",DEM,1
127,H0IL050962012,"QUIGLEY, MIKE                                                                                                                                                                                           ",DEM,1
128,H0IL080902012,"WALSH, JOE                                                                                                                                                                                              ",REP,0
129,H0IL080902012,"WALSH, JOE                                                                                                                                                                                              ",REP,0
130,H0IL090802014,"ATANUS, SUSANNE                                                                                                                                                                                         ",REP,0
131,H0IL090802012,"ATANUS, SUSANNE                                                                                                                                                                                         ",REP,0
132,H0IL103022014,"DOLD, ROBERT JAMES JR                                                                                                                                                                                   ",REP,1
133,H0IL103022012,"DOLD, ROBERT JAMES MR JR                                                                                                                                                                                ",REP,1
134,H0IL103022014,"DOLD, ROBERT JAMES JR                                                                                                                                                                                   ",REP,0
135,H0IL103022012,"DOLD, ROBERT JAMES MR JR                                                                                                                                                                                ",REP,0
136,H0IL110522014,"KINZINGER, ADAM                                                                                                                                                                                         ",REP,1
137,H0IL110522012,"KINZINGER, ADAM                                                                                                                                                                                         ",REP,1
138,H0IL140802014,"HULTGREN, RANDY                                                                                                                                                                                         ",REP,1
139,H0IL140802012,"HULTGREN, RANDY                                                                                                                                                                                         ",REP,1
140,H0IL170592014,"SCHILLING, ROBERT T.                                                                                                                                                                                    ",REP,0
141,H0IL170592012,"SCHILLING, ROBERT T.                                                                                                                                                                                    ",REP,0
142,H0IN021252014,"MESSER, ALLEN LUCAS                                                                                                                                                                                     ",REP,1
143,H0IN021252012,"MESSER, ALLEN LUCAS                                                                                                                                                                                     ",REP,1
144,H0IN031982014,"STUTZMAN, MARLIN A                                                                                                                                                                                      ",REP,1
145,H0IN031982012,"STUTZMAN, MARLIN A                                                                                                                                                                                      ",REP,1
146,H0IN041702014,"ROKITA, THEODORE EDWARD                                                                                                                                                                                 ",REP,1
147,H0IN041702012,"ROKITA, THEODORE EDWARD                                                                                                                                                                                 ",REP,1
148,H0IN051692012,"REID, RICHARD ANDREW                                                                                                                                                                                    ",LIB,0
149,H0IN051692012,"REID, RICHARD ANDREW                                                                                                                                                                                    ",LIB,0
150,H0IN071572012,"MAY, CARLOS ANDREW                                                                                                                                                                                      ",REP,0
151,H0IN071572012,"MAY, CARLOS ANDREW                                                                                                                                                                                      ",REP,0
152,H0IN081142014,"BUCSHON, LARRY D.                                                                                                                                                                                       ",REP,1
153,H0IN081142012,"BUCSHON, LARRY D                                                                                                                                                                                        ",REP,1
154,H0IN090702014,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,1
155,H0IN090702012,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,1
156,H0KS020972012,"HAWVER, IRA DENNIS                                                                                                                                                                                      ",LIB,0
157,H0KS031372014,"YODER, KEVIN                                                                                                                                                                                            ",REP,1
158,H0KS031372012,"YODER, KEVIN                                                                                                                                                                                            ",REP,1
159,H0KS040512014,"POMPEO, MICHAEL R                                                                                                                                                                                       ",REP,1
160,H0KS040512012,"POMPEO, MICHAEL RICHARD                                                                                                                                                                                 ",REP,1
161,H0KS041012012,"TILLMAN, ROBERT LEON                                                                                                                                                                                    ",DEM,0
162,H0KS041012012,"TILLMAN, ROBERT LEON                                                                                                                                                                                    ",DEM,0
163,H0KY032262012,"WICKER, SCOTT BROOKS JR                                                                                                                                                                                 ",REP,0
164,H0KY032262012,"WICKER, SCOTT BROOKS JR                                                                                                                                                                                 ",REP,0
165,H0KY050152014,"ROGERS, HAROLD D                                                                                                                                                                                        ",REP,1
166,H0KY050152012,"ROGERS, HAROLD DALLAS                                                                                                                                                                                   ",REP,1
167,H0KY061042014,"BARR, GARLAND ANDY                                                                                                                                                                                      ",REP,1
168,H0KY061042012,"BARR, GARLAND ANDY                                                                                                                                                                                      ",REP,1
169,H0LA010872014,"SCALISE, STEVE MR.                                                                                                                                                                                      ",REP,1
170,H0LA010872012,"SCALISE, STEVE MR.                                                                                                                                                                                      ",REP,1
171,H0LA031412012,"LANDRY, JEFFREY M                                                                                                                                                                                       ",REP,1
172,H0LA031412012,"LANDRY, JEFFREY M                                                                                                                                                                                       ",REP,1
173,H0MA041272012,"BIELAT, SEAN                                                                                                                                                                                            ",REP,0
174,H0MA041272012,"BIELAT, SEAN                                                                                                                                                                                            ",REP,0
175,H0MA050662012,"GOLNIK, JONATHAN A                                                                                                                                                                                      ",REP,0
176,H0MA050662012,"GOLNIK, JONATHAN A                                                                                                                                                                                      ",REP,0
177,H0MA090272012,"ROSA, DAVID A                                                                                                                                                                                           ",IND,0
178,H0MA100822014,"KEATING, WILLIAM RICHARD                                                                                                                                                                                ",DEM,1
179,H0MA100822012,"KEATING, WILLIAM RICHARD                                                                                                                                                                                ",DEM,1
180,H0MD070722012,"MIRABILE, FRANK CHARLES JR                                                                                                                                                                              ",REP,0
181,H0MD070722012,"MIRABILE, FRANK CHARLES JR                                                                                                                                                                              ",REP,0
182,H0MD081382012,"GRANNIS, MARK ANDREW                                                                                                                                                                                    ",LIB,0
183,H0MD081382012,"GRANNIS, MARK ANDREW                                                                                                                                                                                    ",LIB,0
184,H0MI010882014,"BENISHEK, DANIEL J. M.D.                                                                                                                                                                                ",REP,1
185,H0MI010882012,"BENISHEK, DANIEL J. M.D.                                                                                                                                                                                ",REP,1
186,H0MI011532012,"MCDOWELL, GARY J. HON.                                                                                                                                                                                  ",DEM,0
187,H0MI011532012,"MCDOWELL, GARY J. HON.                                                                                                                                                                                  ",DEM,0
188,H0MI020942014,"HUIZENGA, WILLIAM P THE HON.                                                                                                                                                                            ",REP,1
189,H0MI020942012,"HUIZENGA, WILLIAM P                                                                                                                                                                                     ",REP,1
190,H0MI031262014,"AMASH, JUSTIN                                                                                                                                                                                           ",REP,1
191,H0MI031262012,"AMASH, JUSTIN                                                                                                                                                                                           ",REP,1
192,H0MI080422012,"ROGERS, MICHAEL J                                                                                                                                                                                       ",REP,1
193,H0MI080422014,"ROGERS, MICHAEL J                                                                                                                                                                                       ",REP,1
194,H0MI080912012,"ENDERLE, LANCE L                                                                                                                                                                                        ",DEM,0
195,H0MI080912012,"ENDERLE, LANCE L                                                                                                                                                                                        ",DEM,0
196,H0MI081092012,"DASHAIRYA, BHAGWAN                                                                                                                                                                                      ",LIB,0
197,H0MI081092014,"DASHAIRYA, BHAGWAN                                                                                                                                                                                      ",LIB,0
198,H0MI100712012,"CAMP, DAVID LEE                                                                                                                                                                                         ",REP,1
