,cand_id,cand_name,cand_pty_affliation,cand_election_yr,result
35,H0CA14075,"CHAPMAN, DAVE                                                                                                                                                                                           ",DEM,2012  ,0
36,H0CA15148,"HONDA, MIKE                                                                                                                                                                                             ",DEM,2014  ,1
37,H0CA15148,"HONDA, MIKE                                                                                                                                                                                             ",DEM,2012  ,1
38,H0CA17185,"KABAT, RONALD PAUL                                                                                                                                                                                      ",NNE,2014  ,0
39,H0CA17185,"KABAT, RONALD P.                                                                                                                                                                                        ",NPA,2012  ,0
40,H0CA19082,"HERNANDEZ, JOHN STEPHEN                                                                                                                                                                                 ",DEM,2014  ,0
41,H0CA19082,"HERNANDEZ, JOHN S                                                                                                                                                                                       ",DEM,2012  ,0
42,H0CA19173,"DENHAM, JEFF                                                                                                                                                                                            ",REP,2014  ,1
43,H0CA19173,"DENHAM, JEFF                                                                                                                                                                                            ",REP,2012  ,1
44,H0CA26087,"MILLER, DAVID LAWRENCE                                                                                                                                                                                  ",REP,2012  ,0
45,H0CA26087,"MILLER, DAVID LAWRENCE                                                                                                                                                                                  ",REP,2012  ,0
46,H0CA27085,"SCHIFF, ADAM                                                                                                                                                                                            ",DEM,2014  ,1
47,H0CA27085,"SCHIFF, ADAM                                                                                                                                                                                            ",DEM,2012  ,1
48,H0CA32101,"CHU, JUDY                                                                                                                                                                                               ",DEM,2012  ,1
49,H0CA32101,"CHU, JUDY                                                                                                                                                                                               ",DEM,2014  ,1
50,H0CA33117,"BASS, KAREN                                                                                                                                                                                             ",DEM,2012  ,1
51,H0CA33117,"BASS, KAREN                                                                                                                                                                                             ",DEM,2014  ,1
52,H0CA33133,"JENNERJAHN, PHIL                                                                                                                                                                                        ",REP,2012  ,0
53,H0CA34099,"SANCHEZ, DAVID                                                                                                                                                                                          ",DEM,2012  ,1
54,H0CA34099,"SANCHEZ, DAVID                                                                                                                                                                                          ",DEM,2014  ,1
55,H0CA48024,"ISSA, DARRELL                                                                                                                                                                                           ",REP,2012  ,1
56,H0CA48024,"ISSA, DARRELL                                                                                                                                                                                           ",REP,2014  ,1
57,H0CA49055,"DAVIS, SUSAN A                                                                                                                                                                                          ",DEM,2012  ,1
58,H0CA49055,"DAVIS, SUSAN                                                                                                                                                                                            ",DEM,2014  ,1
59,H0CA51036,"POPADITCH, NICHOLAS ALLEN                                                                                                                                                                               ",REP,2012  ,0
60,H0CA51036,"POPADITCH, NICHOLAS ALLEN                                                                                                                                                                               ",REP,2012  ,0
61,H0CO04122,"GARDNER, CORY                                                                                                                                                                                           ",REP,2012  ,1
62,H0CO04122,"GARDNER, CORY                                                                                                                                                                                           ",REP,2014  ,1
63,H0CT03072,"DELAURO, ROSA L                                                                                                                                                                                         ",DEM,2014  ,1
64,H0CT03072,"DELAURO, ROSA L                                                                                                                                                                                         ",DEM,2012  ,1
65,H0CT04146,"DEBICELLA, DAN                                                                                                                                                                                          ",REP,2014  ,0
66,H0CT04146,"DEBICELLA, DAN                                                                                                                                                                                          ",REP,2010  ,0
67,H0CT05127,"PISTONE, JOHN                                                                                                                                                                                           ",REP,2014  ,0
68,H0CT05127,"PISTONE, JOHN                                                                                                                                                                                           ",UNK,2012  ,0
69,H0CT05150,"GREENBERG, MARK                                                                                                                                                                                         ",REP,2014  ,0
70,H0CT05150,"GREENBERG, MARK DANIEL                                                                                                                                                                                  ",REP,2012  ,0
71,H0DE01017,"CARNEY, JOHN                                                                                                                                                                                            ",DEM,2014  ,1
72,H0DE01017,"CARNEY, JOHN CHARLES JR                                                                                                                                                                                 ",DEM,2012  ,1
73,H0DE01025,"IZZO, ROSE                                                                                                                                                                                              ",REP,2014  ,0
74,H0DE01025,"IZZO, ROSE                                                                                                                                                                                              ",REP,2012  ,0
75,H0FL02086,"LAWSON, ALFRED J JR                                                                                                                                                                                     ",DEM,2012  ,0
76,H0FL02086,"LAWSON, ALFRED J JR                                                                                                                                                                                     ",DEM,2012  ,0
77,H0FL02110,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,2014  ,1
78,H0FL02110,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,2012  ,1
79,H0FL02110,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,2014  ,0
80,H0FL02110,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,2012  ,0
81,H0FL02136,"NETHERWOOD, RAYMOND HEATH                                                                                                                                                                               ",LIB,2014  ,0
82,H0FL03100,"KOLB, EUNA LEANNE                                                                                                                                                                                       ",REP,2012  ,0
83,H0FL03100,"KOLB, EUNA LEANNE                                                                                                                                                                                       ",REP,2012  ,0
84,H0FL04066,"CRENSHAW, ANDER                                                                                                                                                                                         ",REP,2014  ,1
85,H0FL04066,"CRENSHAW, ANDER HON.                                                                                                                                                                                    ",REP,2012  ,1
86,H0FL05139,"NUGENT, RICHARD B                                                                                                                                                                                       ",REP,2014  ,1
87,H0FL05139,"NUGENT, RICHARD B                                                                                                                                                                                       ",REP,2012  ,1
88,H0FL07077,"BEAVEN, HEATHER M                                                                                                                                                                                       ",DEM,2012  ,0
89,H0FL07077,"BEAVEN, HEATHER M                                                                                                                                                                                       ",DEM,2012  ,0
90,H0FL08208,"WEBSTER, DANIEL                                                                                                                                                                                         ",REP,2014  ,1
91,H0FL08208,"WEBSTER, DANIEL                                                                                                                                                                                         ",REP,2012  ,1
92,H0FL12101,"ROSS, DENNIS ALAN                                                                                                                                                                                       ",REP,2014  ,1
93,H0FL12101,"ROSS, DENNIS ALAN                                                                                                                                                                                       ",REP,2012  ,1
94,H0FL14065,"ROACH, JAMES LLOYD                                                                                                                                                                                      ",DEM,2012  ,0
95,H0FL14065,"ROACH, JAMES LLOYD                                                                                                                                                                                      ",DEM,2012  ,0
96,H0FL15054,"ROBERTS, SHANNON                                                                                                                                                                                        ",DEM,2012  ,0
97,H0FL15054,"ROBERTS, SHANNON                                                                                                                                                                                        ",DEM,2012  ,0
98,H0FL17068,"WILSON, FREDERICA S                                                                                                                                                                                     ",DEM,2012  ,1
99,H0FL17068,"WILSON, FREDERICA S                                                                                                                                                                                     ",DEM,2014  ,1
100,H0FL18025,"ROS-LEHTINEN, ILEANA                                                                                                                                                                                    ",REP,2012  ,1
101,H0FL18025,"ROS-LEHTINEN, ILEANA                                                                                                                                                                                    ",REP,2014  ,1
102,H0FL19080,"DEUTCH, THEODORE ELIOT                                                                                                                                                                                  ",DEM,2012  ,1
103,H0FL19080,"DEUTCH, THEODORE ELIOT                                                                                                                                                                                  ",DEM,2014  ,1
104,H0FL20070,"HARRINGTON, KAREN                                                                                                                                                                                       ",REP,2012  ,0
105,H0FL20070,"HARRINGTON, KAREN                                                                                                                                                                                       ",REP,2014  ,0
106,H0FL20104,"BLUMENTHAL, STANLEY                                                                                                                                                                                     ",OTH,2012  ,0
107,H0FL20104,"BLUMENTHAL, STANLEY                                                                                                                                                                                     ",OTH,2012  ,0
108,H0FL25038,"RIVERA, DAVID                                                                                                                                                                                           ",REP,2012  ,0
109,H0FL25038,"RIVERA, DAVID                                                                                                                                                                                           ",REP,2014  ,0
110,H0GA07125,"HICE, JODY B MR                                                                                                                                                                                         ",REP,2010  ,1
111,H0GA07125,"HICE, JODY                                                                                                                                                                                              ",REP,2014  ,1
112,H0GA07133,"WOODALL, ROB                                                                                                                                                                                            ",UNK,2012  ,1
113,H0GA07133,"WOODALL, ROB REP.                                                                                                                                                                                       ",REP,2014  ,1
114,H0GA08099,"SCOTT, JAMES AUSTIN                                                                                                                                                                                     ",REP,2012  ,1
115,H0GA08099,"SCOTT, JAMES AUSTIN                                                                                                                                                                                     ",REP,2014  ,1
116,H0GA09030,"GRAVES, JOHN THOMAS MR. JR.                                                                                                                                                                             ",REP,2012  ,1
117,H0GA09030,"GRAVES, JOHN THOMAS MR. JR.                                                                                                                                                                             ",REP,2014  ,1
118,H0HI01157,"DJOU, CHARLES K                                                                                                                                                                                         ",REP,2012  ,0
119,H0HI01157,"DJOU, CHARLES K                                                                                                                                                                                         ",REP,2014  ,0
120,H0IA01117,"LANGE, BEN                                                                                                                                                                                              ",REP,2012  ,0
121,H0IA01117,"LANGE, BEN                                                                                                                                                                                              ",REP,2012  ,0
122,H0IA05100,"MONROE, MARTIN JAMES                                                                                                                                                                                    ",IND,2012  ,0
123,H0ID01253,"LABRADOR, RAUL                                                                                                                                                                                          ",REP,2012  ,1
124,H0ID01253,"LABRADOR, RAUL R. REP.                                                                                                                                                                                  ",REP,2014  ,1
125,H0ID02053,"CHAPPELL, JACK WAYNE                                                                                                                                                                                    ",DEM,2012  ,0
126,H0IL05096,"QUIGLEY, MIKE                                                                                                                                                                                           ",DEM,2014  ,1
127,H0IL05096,"QUIGLEY, MIKE                                                                                                                                                                                           ",DEM,2012  ,1
128,H0IL08090,"WALSH, JOE                                                                                                                                                                                              ",REP,2012  ,0
129,H0IL08090,"WALSH, JOE                                                                                                                                                                                              ",REP,2012  ,0
130,H0IL09080,"ATANUS, SUSANNE                                                                                                                                                                                         ",REP,2014  ,0
131,H0IL09080,"ATANUS, SUSANNE                                                                                                                                                                                         ",REP,2012  ,0
132,H0IL10302,"DOLD, ROBERT JAMES JR                                                                                                                                                                                   ",REP,2014  ,1
133,H0IL10302,"DOLD, ROBERT JAMES MR JR                                                                                                                                                                                ",REP,2012  ,1
134,H0IL10302,"DOLD, ROBERT JAMES JR                                                                                                                                                                                   ",REP,2014  ,0
135,H0IL10302,"DOLD, ROBERT JAMES MR JR                                                                                                                                                                                ",REP,2012  ,0
136,H0IL11052,"KINZINGER, ADAM                                                                                                                                                                                         ",REP,2014  ,1
137,H0IL11052,"KINZINGER, ADAM                                                                                                                                                                                         ",REP,2012  ,1
138,H0IL14080,"HULTGREN, RANDY                                                                                                                                                                                         ",REP,2014  ,1
139,H0IL14080,"HULTGREN, RANDY                                                                                                                                                                                         ",REP,2012  ,1
140,H0IL17059,"SCHILLING, ROBERT T.                                                                                                                                                                                    ",REP,2014  ,0
141,H0IL17059,"SCHILLING, ROBERT T.                                                                                                                                                                                    ",REP,2012  ,0
142,H0IN02125,"MESSER, ALLEN LUCAS                                                                                                                                                                                     ",REP,2014  ,1
143,H0IN02125,"MESSER, ALLEN LUCAS                                                                                                                                                                                     ",REP,2012  ,1
144,H0IN03198,"STUTZMAN, MARLIN A                                                                                                                                                                                      ",REP,2014  ,1
145,H0IN03198,"STUTZMAN, MARLIN A                                                                                                                                                                                      ",REP,2012  ,1
146,H0IN04170,"ROKITA, THEODORE EDWARD                                                                                                                                                                                 ",REP,2014  ,1
147,H0IN04170,"ROKITA, THEODORE EDWARD                                                                                                                                                                                 ",REP,2012  ,1
148,H0IN05169,"REID, RICHARD ANDREW                                                                                                                                                                                    ",LIB,2012  ,0
149,H0IN05169,"REID, RICHARD ANDREW                                                                                                                                                                                    ",LIB,2012  ,0
150,H0IN07157,"MAY, CARLOS ANDREW                                                                                                                                                                                      ",REP,2012  ,0
151,H0IN07157,"MAY, CARLOS ANDREW                                                                                                                                                                                      ",REP,2012  ,0
152,H0IN08114,"BUCSHON, LARRY D.                                                                                                                                                                                       ",REP,2014  ,1
153,H0IN08114,"BUCSHON, LARRY D                                                                                                                                                                                        ",REP,2012  ,1
154,H0IN09070,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,2014  ,1
155,H0IN09070,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,2012  ,1
156,H0KS02097,"HAWVER, IRA DENNIS                                                                                                                                                                                      ",LIB,2012  ,0
157,H0KS03137,"YODER, KEVIN                                                                                                                                                                                            ",REP,2014  ,1
158,H0KS03137,"YODER, KEVIN                                                                                                                                                                                            ",REP,2012  ,1
159,H0KS04051,"POMPEO, MICHAEL R                                                                                                                                                                                       ",REP,2014  ,1
160,H0KS04051,"POMPEO, MICHAEL RICHARD                                                                                                                                                                                 ",REP,2012  ,1
161,H0KS04101,"TILLMAN, ROBERT LEON                                                                                                                                                                                    ",DEM,2012  ,0
162,H0KS04101,"TILLMAN, ROBERT LEON                                                                                                                                                                                    ",DEM,2012  ,0
163,H0KY03226,"WICKER, SCOTT BROOKS JR                                                                                                                                                                                 ",REP,2012  ,0
164,H0KY03226,"WICKER, SCOTT BROOKS JR                                                                                                                                                                                 ",REP,2012  ,0
165,H0KY05015,"ROGERS, HAROLD D                                                                                                                                                                                        ",REP,2014  ,1
166,H0KY05015,"ROGERS, HAROLD DALLAS                                                                                                                                                                                   ",REP,2012  ,1
167,H0KY06104,"BARR, GARLAND ANDY                                                                                                                                                                                      ",REP,2014  ,1
168,H0KY06104,"BARR, GARLAND ANDY                                                                                                                                                                                      ",REP,2012  ,1
169,H0LA01087,"SCALISE, STEVE MR.                                                                                                                                                                                      ",REP,2014  ,1
170,H0LA01087,"SCALISE, STEVE MR.                                                                                                                                                                                      ",REP,2012  ,1
171,H0LA03141,"LANDRY, JEFFREY M                                                                                                                                                                                       ",REP,2012  ,1
172,H0LA03141,"LANDRY, JEFFREY M                                                                                                                                                                                       ",REP,2012  ,1
173,H0MA04127,"BIELAT, SEAN                                                                                                                                                                                            ",REP,2012  ,0
174,H0MA04127,"BIELAT, SEAN                                                                                                                                                                                            ",REP,2012  ,0
175,H0MA05066,"GOLNIK, JONATHAN A                                                                                                                                                                                      ",REP,2012  ,0
176,H0MA05066,"GOLNIK, JONATHAN A                                                                                                                                                                                      ",REP,2012  ,0
177,H0MA09027,"ROSA, DAVID A                                                                                                                                                                                           ",IND,2012  ,0
178,H0MA10082,"KEATING, WILLIAM RICHARD                                                                                                                                                                                ",DEM,2014  ,1
179,H0MA10082,"KEATING, WILLIAM RICHARD                                                                                                                                                                                ",DEM,2012  ,1
180,H0MD07072,"MIRABILE, FRANK CHARLES JR                                                                                                                                                                              ",REP,2012  ,0
181,H0MD07072,"MIRABILE, FRANK CHARLES JR                                                                                                                                                                              ",REP,2012  ,0
182,H0MD08138,"GRANNIS, MARK ANDREW                                                                                                                                                                                    ",LIB,2012  ,0
183,H0MD08138,"GRANNIS, MARK ANDREW                                                                                                                                                                                    ",LIB,2012  ,0
184,H0MI01088,"BENISHEK, DANIEL J. M.D.                                                                                                                                                                                ",REP,2014  ,1
185,H0MI01088,"BENISHEK, DANIEL J. M.D.                                                                                                                                                                                ",REP,2012  ,1
186,H0MI01153,"MCDOWELL, GARY J. HON.                                                                                                                                                                                  ",DEM,2012  ,0
187,H0MI01153,"MCDOWELL, GARY J. HON.                                                                                                                                                                                  ",DEM,2012  ,0
188,H0MI02094,"HUIZENGA, WILLIAM P THE HON.                                                                                                                                                                            ",REP,2014  ,1
189,H0MI02094,"HUIZENGA, WILLIAM P                                                                                                                                                                                     ",REP,2012  ,1
190,H0MI03126,"AMASH, JUSTIN                                                                                                                                                                                           ",REP,2014  ,1
191,H0MI03126,"AMASH, JUSTIN                                                                                                                                                                                           ",REP,2012  ,1
192,H0MI08042,"ROGERS, MICHAEL J                                                                                                                                                                                       ",REP,2012  ,1
193,H0MI08042,"ROGERS, MICHAEL J                                                                                                                                                                                       ",REP,2014  ,1
194,H0MI08091,"ENDERLE, LANCE L                                                                                                                                                                                        ",DEM,2012  ,0
195,H0MI08091,"ENDERLE, LANCE L                                                                                                                                                                                        ",DEM,2012  ,0
