,cand_id,cand_name,cand_pty_affliation,result,degreecentrality
57,H0CT030722014,"DELAURO, ROSA L                                                                                                                                                                                         ",DEM,1,0.0006162746199225681
58,H0CT030722012,"DELAURO, ROSA L                                                                                                                                                                                         ",DEM,1,0.0009691415393943613
59,H0CT041462014,"DEBICELLA, DAN                                                                                                                                                                                          ",REP,0,0.0023060598680973514
60,H0CT041462010,"DEBICELLA, DAN                                                                                                                                                                                          ",REP,0,
61,H0CT051272014,"PISTONE, JOHN                                                                                                                                                                                           ",REP,0,
62,H0CT051272012,"PISTONE, JOHN                                                                                                                                                                                           ",UNK,0,
63,H0CT051502014,"GREENBERG, MARK                                                                                                                                                                                         ",REP,0,0.0005119055310647138
64,H0CT051502012,"GREENBERG, MARK DANIEL                                                                                                                                                                                  ",REP,0,9.939913224557552e-05
65,H0DE010172014,"CARNEY, JOHN                                                                                                                                                                                            ",DEM,1,9.442917563329671e-05
66,H0DE010172012,"CARNEY, JOHN CHARLES JR                                                                                                                                                                                 ",DEM,1,0.00033298709302267786
67,H0DE010252014,"IZZO, ROSE                                                                                                                                                                                              ",REP,0,
68,H0DE010252012,"IZZO, ROSE                                                                                                                                                                                              ",REP,0,
69,H0FL020862012,"LAWSON, ALFRED J JR                                                                                                                                                                                     ",DEM,0,0.0005864548802488955
70,H0FL021102014,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,1,0.001128180150987282
71,H0FL021102012,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,1,0.0007802831881277678
72,H0FL021102014,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,0,0.001128180150987282
73,H0FL021102012,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,0,0.0007802831881277678
74,H0FL021362014,"NETHERWOOD, RAYMOND HEATH                                                                                                                                                                               ",LIB,0,4.969956612278775e-06
75,H0FL031002012,"KOLB, EUNA LEANNE                                                                                                                                                                                       ",REP,0,1.4909869836836325e-05
76,H0FL040662014,"CRENSHAW, ANDER                                                                                                                                                                                         ",REP,1,0.00016897852481747834
77,H0FL040662012,"CRENSHAW, ANDER HON.                                                                                                                                                                                    ",REP,1,4.969956612278776e-05
78,H0FL051392014,"NUGENT, RICHARD B                                                                                                                                                                                       ",REP,1,2.484978306139388e-05
79,H0FL051392012,"NUGENT, RICHARD B                                                                                                                                                                                       ",REP,1,2.484978306139388e-05
80,H0FL070772012,"BEAVEN, HEATHER M                                                                                                                                                                                       ",DEM,0,0.00030813730996128406
81,H0FL082082014,"WEBSTER, DANIEL                                                                                                                                                                                         ",REP,1,0.0004920257046155987
82,H0FL082082012,"WEBSTER, DANIEL                                                                                                                                                                                         ",REP,1,0.0006361544463716832
83,H0FL121012014,"ROSS, DENNIS ALAN                                                                                                                                                                                       ",REP,1,0.0002584377438384963
84,H0FL121012012,"ROSS, DENNIS ALAN                                                                                                                                                                                       ",REP,1,0.00016400856820519957
85,H0FL140652012,"ROACH, JAMES LLOYD                                                                                                                                                                                      ",DEM,0,7.454934918418163e-05
86,H0FL150542012,"ROBERTS, SHANNON                                                                                                                                                                                        ",DEM,0,4.472960951050898e-05
87,H0FL170682012,"WILSON, FREDERICA S                                                                                                                                                                                     ",DEM,1,4.472960951050898e-05
88,H0FL170682014,"WILSON, FREDERICA S                                                                                                                                                                                     ",DEM,1,3.97596528982302e-05
89,H0FL180252012,"ROS-LEHTINEN, ILEANA                                                                                                                                                                                    ",REP,1,0.0008399226674751129
90,H0FL180252014,"ROS-LEHTINEN, ILEANA                                                                                                                                                                                    ",REP,1,0.0002882574835121689
91,H0FL190802012,"DEUTCH, THEODORE ELIOT                                                                                                                                                                                  ",DEM,1,0.0005864548802488955
92,H0FL190802014,"DEUTCH, THEODORE ELIOT                                                                                                                                                                                  ",DEM,1,0.00026837765706305385
93,H0FL200702012,"HARRINGTON, KAREN                                                                                                                                                                                       ",REP,0,0.0015058968535204688
94,H0FL200702014,"HARRINGTON, KAREN                                                                                                                                                                                       ",REP,0,1.98798264491151e-05
95,H0FL201042012,"BLUMENTHAL, STANLEY                                                                                                                                                                                     ",OTH,0,4.969956612278775e-06
96,H0FL250382012,"RIVERA, DAVID                                                                                                                                                                                           ",REP,0,0.00017394848142975714
97,H0FL250382014,"RIVERA, DAVID                                                                                                                                                                                           ",REP,0,
98,H0GA071252010,"HICE, JODY B MR                                                                                                                                                                                         ",REP,1,
99,H0GA071252014,"HICE, JODY                                                                                                                                                                                              ",REP,1,0.00045723600832964727
100,H0GA071332012,"WOODALL, ROB                                                                                                                                                                                            ",UNK,1,3.4789696285951424e-05
101,H0GA071332014,"WOODALL, ROB REP.                                                                                                                                                                                       ",REP,1,0.0004920257046155987
102,H0GA080992012,"SCOTT, JAMES AUSTIN                                                                                                                                                                                     ",REP,1,0.0003727467459209081
103,H0GA080992014,"SCOTT, JAMES AUSTIN                                                                                                                                                                                     ",REP,1,0.00028328752689989016
104,H0GA090302012,"GRAVES, JOHN THOMAS MR. JR.                                                                                                                                                                             ",REP,1,0.00036280683269635064
105,H0GA090302014,"GRAVES, JOHN THOMAS MR. JR.                                                                                                                                                                             ",REP,1,0.0004721458781664837
106,H0HI011572012,"DJOU, CHARLES K                                                                                                                                                                                         ",REP,0,0.0004969956612278775
107,H0HI011572014,"DJOU, CHARLES K                                                                                                                                                                                         ",REP,0,0.0013667380683766632
108,H0IA011172012,"LANGE, BEN                                                                                                                                                                                              ",REP,0,0.0014661372006222384
109,H0IA051002012,"MONROE, MARTIN JAMES                                                                                                                                                                                    ",IND,0,
110,H0ID012532012,"LABRADOR, RAUL                                                                                                                                                                                          ",REP,1,0.0007951930579646041
111,H0ID012532014,"LABRADOR, RAUL R. REP.                                                                                                                                                                                  ",REP,1,0.0003876566157577445
112,H0ID020532012,"CHAPPELL, JACK WAYNE                                                                                                                                                                                    ",DEM,0,
113,H0IL050962014,"QUIGLEY, MIKE                                                                                                                                                                                           ",DEM,1,0.0006858540124944709
114,H0IL050962012,"QUIGLEY, MIKE                                                                                                                                                                                           ",DEM,1,0.00046717592155420487
115,H0IL080902012,"WALSH, JOE                                                                                                                                                                                              ",REP,0,0.0017742745105835227
116,H0IL090802014,"ATANUS, SUSANNE                                                                                                                                                                                         ",REP,0,
117,H0IL090802012,"ATANUS, SUSANNE                                                                                                                                                                                         ",REP,0,
118,H0IL103022014,"DOLD, ROBERT JAMES JR                                                                                                                                                                                   ",REP,1,0.004651879389092934
119,H0IL103022012,"DOLD, ROBERT JAMES MR JR                                                                                                                                                                                ",REP,1,0.0052085145296681575
120,H0IL103022014,"DOLD, ROBERT JAMES JR                                                                                                                                                                                   ",REP,0,0.004651879389092934
121,H0IL103022012,"DOLD, ROBERT JAMES MR JR                                                                                                                                                                                ",REP,0,0.0052085145296681575
122,H0IL110522014,"KINZINGER, ADAM                                                                                                                                                                                         ",REP,1,0.0010138711489048704
123,H0IL110522012,"KINZINGER, ADAM                                                                                                                                                                                         ",REP,1,0.0005814849236366168
124,H0IL140802014,"HULTGREN, RANDY                                                                                                                                                                                         ",REP,1,0.00045226605171736856
125,H0IL140802012,"HULTGREN, RANDY                                                                                                                                                                                         ",REP,1,0.0007852531447400464
126,H0IL170592014,"SCHILLING, ROBERT T.                                                                                                                                                                                    ",REP,0,0.0016251758122151595
127,H0IL170592012,"SCHILLING, ROBERT T.                                                                                                                                                                                    ",REP,0,0.00267880661401826
128,H0IN021252014,"MESSER, ALLEN LUCAS                                                                                                                                                                                     ",REP,1,0.0008150728844137191
129,H0IN021252012,"MESSER, ALLEN LUCAS                                                                                                                                                                                     ",REP,1,0.0006659741860453557
130,H0IN031982014,"STUTZMAN, MARLIN A                                                                                                                                                                                      ",REP,1,0.0009194419732715735
131,H0IN031982012,"STUTZMAN, MARLIN A                                                                                                                                                                                      ",REP,1,0.0006957939257190287
132,H0IN041702014,"ROKITA, THEODORE EDWARD                                                                                                                                                                                 ",REP,1,0.0009641715827820825
133,H0IN041702012,"ROKITA, THEODORE EDWARD                                                                                                                                                                                 ",REP,1,0.0008250127976382768
134,H0IN051692012,"REID, RICHARD ANDREW                                                                                                                                                                                    ",LIB,0,
135,H0IN071572012,"MAY, CARLOS ANDREW                                                                                                                                                                                      ",REP,0,0.0001789184380420359
136,H0IN081142014,"BUCSHON, LARRY D.                                                                                                                                                                                       ",REP,1,0.0006858540124944709
137,H0IN081142012,"BUCSHON, LARRY D                                                                                                                                                                                        ",REP,1,0.0016848152915625047
138,H0IN090702014,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,1,0.0017096650746238984
139,H0IN090702012,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,1,0.0021172015168307587
140,H0KS020972012,"HAWVER, IRA DENNIS                                                                                                                                                                                      ",LIB,0,
141,H0KS031372014,"YODER, KEVIN                                                                                                                                                                                            ",REP,1,0.0009194419732715735
142,H0KS031372012,"YODER, KEVIN                                                                                                                                                                                            ",REP,1,0.0005466952273506652
143,H0KS040512014,"POMPEO, MICHAEL R                                                                                                                                                                                       ",REP,1,0.0006262145331471258
144,H0KS040512012,"POMPEO, MICHAEL RICHARD                                                                                                                                                                                 ",REP,1,0.0009989612790680337
145,H0KS041012012,"TILLMAN, ROBERT LEON                                                                                                                                                                                    ",DEM,0,4.969956612278775e-06
146,H0KY032262012,"WICKER, SCOTT BROOKS JR                                                                                                                                                                                 ",REP,0,0.00019879826449115104
147,H0KY050152014,"ROGERS, HAROLD D                                                                                                                                                                                        ",REP,1,0.00030813730996128406
148,H0KY050152012,"ROGERS, HAROLD DALLAS                                                                                                                                                                                   ",REP,1,0.0006212445765348467
149,H0KY061042014,"BARR, GARLAND ANDY                                                                                                                                                                                      ",REP,1,0.002405459000342927
150,H0KY061042012,"BARR, GARLAND ANDY                                                                                                                                                                                      ",REP,1,0.00442326138492811
151,H0LA010872014,"SCALISE, STEVE MR.                                                                                                                                                                                      ",REP,1,0.00044232613849281096
152,H0LA010872012,"SCALISE, STEVE MR.                                                                                                                                                                                      ",REP,1,0.00038268665914546567
153,H0LA031412012,"LANDRY, JEFFREY M                                                                                                                                                                                       ",REP,1,0.0012027295001714635
154,H0MA041272012,"BIELAT, SEAN                                                                                                                                                                                            ",REP,0,0.0007454934918418163
155,H0MA050662012,"GOLNIK, JONATHAN A                                                                                                                                                                                      ",REP,0,0.00019879826449115104
156,H0MA090272012,"ROSA, DAVID A                                                                                                                                                                                           ",IND,0,
157,H0MA100822014,"KEATING, WILLIAM RICHARD                                                                                                                                                                                ",DEM,1,0.0002733476136753326
158,H0MA100822012,"KEATING, WILLIAM RICHARD                                                                                                                                                                                ",DEM,1,0.00032801713641039914
159,H0MD070722012,"MIRABILE, FRANK CHARLES JR                                                                                                                                                                              ",REP,0,6.460943595962409e-05
160,H0MD081382012,"GRANNIS, MARK ANDREW                                                                                                                                                                                    ",LIB,0,2.981973967367265e-05
161,H0MI010882014,"BENISHEK, DANIEL J. M.D.                                                                                                                                                                                ",REP,1,0.0011331501075995606
162,H0MI010882012,"BENISHEK, DANIEL J. M.D.                                                                                                                                                                                ",REP,1,0.0010784805848644944
163,H0MI011532012,"MCDOWELL, GARY J. HON.                                                                                                                                                                                  ",DEM,0,0.0013220084588661542
164,H0MI020942014,"HUIZENGA, WILLIAM P THE HON.                                                                                                                                                                            ",REP,1,0.0002882574835121689
165,H0MI020942012,"HUIZENGA, WILLIAM P                                                                                                                                                                                     ",REP,1,0.000596394793473453
166,H0MI031262014,"AMASH, JUSTIN                                                                                                                                                                                           ",REP,1,0.0006808840558821923
167,H0MI031262012,"AMASH, JUSTIN                                                                                                                                                                                           ",REP,1,0.000993991322455755
168,H0MI080422012,"ROGERS, MICHAEL J                                                                                                                                                                                       ",REP,1,0.0005268154009015502
169,H0MI080422014,"ROGERS, MICHAEL J                                                                                                                                                                                       ",REP,1,0.00010933904547013305
170,H0MI080912012,"ENDERLE, LANCE L                                                                                                                                                                                        ",DEM,0,
171,H0MI081092012,"DASHAIRYA, BHAGWAN                                                                                                                                                                                      ",LIB,0,
172,H0MI081092014,"DASHAIRYA, BHAGWAN                                                                                                                                                                                      ",LIB,0,
173,H0MI100712012,"CAMP, DAVID LEE                                                                                                                                                                                         ",REP,1,0.0009194419732715735
174,H0MI100712014,"CAMP, DAVID LEE                                                                                                                                                                                         ",REP,1,9.939913224557552e-05
175,H0MI121272012,"VOLARIC, DONALD CECIL                                                                                                                                                                                   ",REP,0,2.484978306139388e-05
176,H0MI121272014,"VOLARIC, DONALD CECIL                                                                                                                                                                                   ",REP,0,
177,H0MI134142012,"HAULER, JOHN RAYMOND                                                                                                                                                                                    ",REP,0,
178,H0MN010372012,"QUIST, ALLEN                                                                                                                                                                                            ",REP,0,0.00011430900208241185
179,H0MN010452010,"HAGEDORN, JAMES                                                                                                                                                                                         ",REP,0,
180,H0MN010452014,"HAGEDORN, JAMES                                                                                                                                                                                         ",REP,0,0.0002186780909402661
181,H0MN040492012,"MCCOLLUM, BETTY                                                                                                                                                                                         ",DFL,1,0.0003727467459209081
182,H0MN040492014,"MCCOLLUM, BETTY                                                                                                                                                                                         ",DEM,1,0.0003727467459209081
183,H0MN041632012,"CARLSON, STEVE                                                                                                                                                                                          ",IDP,0,
