cand_id,cand_name,cand_pty_affliation,result,totaldonations,uniquepercent,smallpercent,largepercent
H0PA042202014,"ROTHFUS, KEITH MR.                                                                                                                                                                                      ",REP,1,350,0.8742857142857143,0.008571428571428572,0.17142857142857143
H0PA042202012,"ROTHFUS, KEITH MR.                                                                                                                                                                                      ",REP,1,696,0.7959770114942529,0.0014367816091954023,0.1925287356321839
H0PA060842014,"TRIVEDI, MANAN                                                                                                                                                                                          ",DEM,0,574,0.7439024390243902,0.0017421602787456446,0.07665505226480836
H0PA060842012,"TRIVEDI, MANAN                                                                                                                                                                                          ",DEM,0,621,0.7391304347826086,0.03864734299516908,0.05958132045088567
H0SD000542014,"NOEM, KRISTI LYNN                                                                                                                                                                                       ",REP,1,732,0.4426229508196721,0.00546448087431694,0.11202185792349727
H0SD000542012,"NOEM, KRISTI LYNN                                                                                                                                                                                       ",REP,1,992,0.4405241935483871,0.006048387096774193,0.1350806451612903
H0TX171042012,"FLORES, BILL                                                                                                                                                                                            ",REP,1,206,0.41262135922330095,0.019417475728155338,0.3592233009708738
H0VA020842014,"RIGELL, EDWARD SCOTT MR.                                                                                                                                                                                ",REP,1,420,0.45476190476190476,0.004761904761904762,0.4238095238095238
H0VA070422014,"CANTOR, ERIC                                                                                                                                                                                            ",REP,1,1556,0.36246786632390743,0.03598971722365039,0.6979434447300771
H0VA080402014,"MORAN, JAMES P. JR.                                                                                                                                                                                     ",DEM,1,60,0.45,0.1,0.5333333333333333
H0WI070512012,"DUFFY, SEAN                                                                                                                                                                                             ",REP,1,538,0.4591078066914498,0.0037174721189591076,0.20446096654275092
H2AR040832012,"COTTON, THOMAS                                                                                                                                                                                          ",REP,1,1142,0.46234676007005254,0.0070052539404553416,0.20665499124343256
H2AZ080942014,"BARBER, RONALD                                                                                                                                                                                          ",DEM,1,1700,0.2023529411764706,0.01647058823529412,0.10588235294117647
H2AZ080942014,"BARBER, RONALD                                                                                                                                                                                          ",DEM,0,1700,0.2023529411764706,0.01647058823529412,0.10588235294117647
H2CA001202014,"BROWNLEY, JULIA                                                                                                                                                                                         ",DEM,1,1450,0.39448275862068966,0.006896551724137931,0.10206896551724139
H2CA130992012,"SINGLETON, MARILYN M                                                                                                                                                                                    ",UNK,0,40,0.2,0.55,0.05
H2CA130992012,"SINGLETON, MARILYN M                                                                                                                                                                                    ",UNK,0,40,0.2,0.55,0.05
H2CA150942014,"SWALWELL, ERIC MICHAEL                                                                                                                                                                                  ",DEM,1,342,0.4415204678362573,0.005847953216374269,0.2573099415204678
H2CA231142014,"MITCHUM, CHRISTOPHER                                                                                                                                                                                    ",REP,0,240,0.4166666666666667,0.008333333333333333,0.09166666666666666
H2CA251432012,"ROGERS, LEE C                                                                                                                                                                                           ",DEM,0,326,0.44785276073619634,0.006134969325153374,0.024539877300613498
H2CA364392012,"RUIZ, RAUL DR.                                                                                                                                                                                          ",DEM,1,1268,0.4353312302839117,0.0015772870662460567,0.07886435331230283
H2CA364392014,"RUIZ, RAUL DR.                                                                                                                                                                                          ",DEM,1,1422,0.4184247538677918,0.004219409282700422,0.16033755274261605
H2CA432452014,"TAKANO, MARK                                                                                                                                                                                            ",DEM,1,554,0.4296028880866426,0.0036101083032490976,0.1552346570397112
H2CA520892012,"PETERS, SCOTT                                                                                                                                                                                           ",DEM,1,445,0.9146067415730337,0.006741573033707865,0.1550561797752809
H2CA520892014,"PETERS, SCOTT                                                                                                                                                                                           ",DEM,1,786,0.8040712468193384,0.017811704834605598,0.19720101781170485
H2CO031382012,"PACE, SALVATORE II                                                                                                                                                                                      ",DEM,0,1192,0.41191275167785235,0.0016778523489932886,0.0436241610738255
H2CO031382012,"PACE, SALVATORE II                                                                                                                                                                                      ",DEM,0,1192,0.41191275167785235,0.0016778523489932886,0.0436241610738255
H2CO050592012,"ANDERSON, DAVID C                                                                                                                                                                                       ",NNE,0,228,0.38596491228070173,0.008771929824561403,0.05263157894736842
H2CO050592012,"ANDERSON, DAVID C                                                                                                                                                                                       ",NNE,0,228,0.38596491228070173,0.008771929824561403,0.05263157894736842
H2CO061492012,"POLHEMUS, KATHY L                                                                                                                                                                                       ",IND,0,34,0.11764705882352941,0.29411764705882354,0.47058823529411764
H2CO061492012,"POLHEMUS, KATHY L                                                                                                                                                                                       ",IND,0,34,0.11764705882352941,0.29411764705882354,0.47058823529411764
H2CT040682012,"OBSITNIK, STEPHEN                                                                                                                                                                                       ",REP,0,1320,0.44772727272727275,0.0030303030303030303,0.21666666666666667
H2CT040682012,"OBSITNIK, STEPHEN                                                                                                                                                                                       ",REP,0,1320,0.44772727272727275,0.0030303030303030303,0.21666666666666667
H2CT051312014,"ESTY, ELIZABETH                                                                                                                                                                                         ",DEM,1,1308,0.42966360856269115,0.0030581039755351682,0.14984709480122324
H2FL011002014,"MILLER, JEFFERSON B.                                                                                                                                                                                    ",REP,1,36,0.5,0.05555555555555555,0.2222222222222222
H2FL140532012,"FRANKEL, LOIS J.                                                                                                                                                                                        ",DEM,1,982,0.46028513238289204,0.008146639511201629,0.2708757637474542
H2FL220722014,"MURPHY, PATRICK                                                                                                                                                                                         ",DEM,1,1138,0.4648506151142355,0.0035149384885764497,0.44639718804920914
H2FL220722012,"MURPHY, PATRICK                                                                                                                                                                                         ",DEM,1,1466,0.46998635743519784,0.001364256480218281,0.27148703956343795
H2IA010552014,"BLUM, RODNEY LELAND                                                                                                                                                                                     ",REP,1,302,0.8079470198675497,0.026490066225165563,0.19536423841059603
H2IA050722014,"KING, STEVE MR.                                                                                                                                                                                         ",REP,1,1128,0.42641843971631205,0.0035460992907801418,0.10106382978723404
H2ID021332012,"LEFAVOUR, NICOLE                                                                                                                                                                                        ",DEM,0,344,0.375,0.023255813953488372,0.06395348837209303
H2ID021332012,"LEFAVOUR, NICOLE                                                                                                                                                                                        ",DEM,0,344,0.375,0.023255813953488372,0.06395348837209303
H2IL021492012,"WOODWORTH, BRIAN                                                                                                                                                                                        ",REP,0,20,0.3,0.5,0.3
H2IL021492012,"WOODWORTH, BRIAN                                                                                                                                                                                        ",REP,0,20,0.3,0.5,0.3
H2IL100682014,"SCHNEIDER, BRADLEY SCOTT                                                                                                                                                                                ",DEM,1,6772,0.2051092734790313,0.005316007088009451,0.10159480212640283
H2IL100682014,"SCHNEIDER, BRADLEY SCOTT                                                                                                                                                                                ",DEM,0,6772,0.2051092734790313,0.005316007088009451,0.10159480212640283
H2IL100682012,"SCHNEIDER, BRADLEY SCOTT                                                                                                                                                                                ",DEM,1,5948,0.2039340954942838,0.0020174848688634837,0.08809683927370544
H2IL100682012,"SCHNEIDER, BRADLEY SCOTT                                                                                                                                                                                ",DEM,0,5948,0.2039340954942838,0.0020174848688634837,0.08809683927370544
H2IL170712012,"BUSTOS, CHERI                                                                                                                                                                                           ",DEM,1,1954,0.4078812691914023,0.0010235414534288639,0.03582395087001024
H2IN091672012,"YODER, SHELLI                                                                                                                                                                                           ",DEM,0,440,0.3977272727272727,0.07272727272727272,0.022727272727272728
H2IN091672012,"YODER, SHELLI                                                                                                                                                                                           ",DEM,0,440,0.3977272727272727,0.07272727272727272,0.022727272727272728
H2KS021192012,"SCHLINGENSIEPEN, TOBIAS                                                                                                                                                                                 ",DEM,0,244,0.47950819672131145,0.00819672131147541,0.00819672131147541
H2KS021192012,"SCHLINGENSIEPEN, TOBIAS                                                                                                                                                                                 ",DEM,0,244,0.47950819672131145,0.00819672131147541,0.00819672131147541
H2MA000142014,"TISEI, RICHARD R.                                                                                                                                                                                       ",REP,0,478,0.4665271966527197,0.0041841004184100415,0.301255230125523
H2MD042732012,"LOUDON, FAITH M                                                                                                                                                                                         ",REP,0,70,0.42857142857142855,0.05714285714285714,0.02857142857142857
H2MD042732012,"LOUDON, FAITH M                                                                                                                                                                                         ",REP,0,70,0.42857142857142855,0.05714285714285714,0.02857142857142857
H2MD061952012,"DELANEY, JOHN K                                                                                                                                                                                         ",DEM,1,1000,0.489,0.002,0.304
H2MN061982014,"GRAVES, JAMES JOSEPH                                                                                                                                                                                    ",DFL,0,14,0.5,0.14285714285714285,0.7142857142857143
H2MO070932014,"EVANS, JIM                                                                                                                                                                                              ",DEM,0,21,0.6666666666666666,0.2857142857142857,0.09523809523809523
H2MS021382012,"WILLIAMS, COBBY M                                                                                                                                                                                       ",IND,0,17,0.23529411764705882,0.35294117647058826,0.11764705882352941
H2NC030872012,"ANDERSON, ERIK STEVEN                                                                                                                                                                                   ",DEM,0,26,0.23076923076923078,0.5384615384615384,0.07692307692307693
H2NC030872012,"ANDERSON, ERIK STEVEN                                                                                                                                                                                   ",DEM,0,26,0.23076923076923078,0.5384615384615384,0.07692307692307693
H2NC070962014,"ROUZER, DAVID CHESTON MR.                                                                                                                                                                               ",REP,0,1108,0.2111913357400722,0.02888086642599278,0.11913357400722022
H2NC070962014,"ROUZER, DAVID CHESTON MR.                                                                                                                                                                               ",REP,1,1108,0.2111913357400722,0.02888086642599278,0.11913357400722022
H2NC091342012,"PITTENGER, ROBERT M THE HONORABLE                                                                                                                                                                       ",REP,1,580,0.4224137931034483,0.027586206896551724,0.13793103448275862
H2NC111142012,"ROGERS, HAYDEN                                                                                                                                                                                          ",DEM,0,522,0.46934865900383144,0.0038314176245210726,0.1532567049808429
H2NC111142012,"ROGERS, HAYDEN                                                                                                                                                                                          ",DEM,0,522,0.46934865900383144,0.0038314176245210726,0.1532567049808429
H2NC131102012,"HOLDING, GEORGE E. B. MR.                                                                                                                                                                               ",REP,1,902,0.43458980044345896,0.0022172949002217295,0.0975609756097561
H2ND001152012,"GULLESON, PAM                                                                                                                                                                                           ",DEM,0,550,0.3781818181818182,0.04363636363636364,0.025454545454545455
H2ND001152012,"GULLESON, PAM                                                                                                                                                                                           ",DEM,0,550,0.3781818181818182,0.04363636363636364,0.025454545454545455
H2NM031572014,"BYRD, JEFFERSON LEE                                                                                                                                                                                     ",REP,0,148,0.4391891891891892,0.02702702702702703,0.013513513513513514
H2NM031572012,"BYRD, JEFFERSON LEE                                                                                                                                                                                     ",REP,0,136,0.39705882352941174,0.14705882352941177,0.014705882352941176
H2NV040112014,"HORSFORD, STEVEN ALEXZANDER                                                                                                                                                                             ",DEM,1,932,0.19527896995708155,0.004291845493562232,0.060085836909871244
H2NV040112014,"HORSFORD, STEVEN ALEXZANDER                                                                                                                                                                             ",DEM,0,932,0.19527896995708155,0.004291845493562232,0.060085836909871244
H2NV040112012,"HORSFORD, STEVEN ALEXZANDER                                                                                                                                                                             ",DEM,1,1492,0.20911528150134048,0.002680965147453083,0.07506702412868632
H2NV040112012,"HORSFORD, STEVEN ALEXZANDER                                                                                                                                                                             ",DEM,0,1492,0.20911528150134048,0.002680965147453083,0.07506702412868632
H2NY000512012,"SCHREIBMAN, JULIAN D                                                                                                                                                                                    ",DEM,0,1074,0.43947858472998136,0.00186219739292365,0.074487895716946
H2NY000512012,"SCHREIBMAN, JULIAN D                                                                                                                                                                                    ",DEM,0,1074,0.43947858472998136,0.00186219739292365,0.074487895716946
H2NY210992012,"DIETERICH, ROBERT J                                                                                                                                                                                     ",REP,0,196,0.3877551020408163,0.02040816326530612,0.1326530612244898
H2NY210992012,"DIETERICH, ROBERT J                                                                                                                                                                                     ",REP,0,196,0.3877551020408163,0.02040816326530612,0.1326530612244898
H2NY221392014,"MALONEY, SEAN PATRICK                                                                                                                                                                                   ",DEM,1,1558,0.43581514762516044,0.0012836970474967907,0.2605905006418485
H2OH020932014,"KUNDRATA, FREDERICK LOUIS III                                                                                                                                                                           ",DEM,0,23,0.782608695652174,0.08695652173913043,0.043478260869565216
H2OH030672012,"TURNER, MICHAEL R                                                                                                                                                                                       ",REP,1,478,0.46443514644351463,0.0041841004184100415,0.35564853556485354
H2OK020832012,"MULLIN, MARKWAYNE                                                                                                                                                                                       ",REP,1,258,0.46511627906976744,0.007751937984496124,0.20155038759689922
H2PA041432012,"PERKINSON, HARRY EBIFF JR                                                                                                                                                                               ",DEM,0,34,0.8823529411764706,0.029411764705882353,0.058823529411764705
H2PA070702012,"BADEY, GEORGE J III                                                                                                                                                                                     ",DEM,0,424,0.39858490566037735,0.0330188679245283,0.09905660377358491
H2PA070702012,"BADEY, GEORGE J III                                                                                                                                                                                     ",DEM,0,424,0.39858490566037735,0.0330188679245283,0.09905660377358491
H2PA110982012,"BARLETTA, LOU                                                                                                                                                                                           ",REP,1,510,0.4470588235294118,0.00784313725490196,0.06666666666666667
H2PA131102012,"ROONEY, JOSEPH JAMES                                                                                                                                                                                    ",REP,0,168,0.39880952380952384,0.09523809523809523,0.10714285714285714
H2PA131102012,"ROONEY, JOSEPH JAMES                                                                                                                                                                                    ",REP,0,168,0.39880952380952384,0.09523809523809523,0.10714285714285714
H2PA140842012,"LESSMANN, HANS F                                                                                                                                                                                        ",OTH,0,34,0.5,0.058823529411764705,0.35294117647058826
H2PA140842012,"LESSMANN, HANS F                                                                                                                                                                                        ",OTH,0,34,0.5,0.058823529411764705,0.35294117647058826
H2PA160632012,"STRADER, ARYANNA                                                                                                                                                                                        ",DEM,0,80,0.25,0.45,0.05
H2PA160632012,"STRADER, ARYANNA                                                                                                                                                                                        ",DEM,0,80,0.25,0.45,0.05
H2SC020592012,"WILSON, ADDISON (JOE) GRAVES                                                                                                                                                                            ",REP,1,252,0.4642857142857143,0.007936507936507936,0.05555555555555555
H2TN031442012,"HEADRICK, MARY MARGARET                                                                                                                                                                                 ",DEM,0,67,0.6268656716417911,0.23880597014925373,0.07462686567164178
H2TN031442014,"HEADRICK, MARY MARGARET                                                                                                                                                                                 ",DEM,0,59,0.5084745762711864,0.2711864406779661,0.11864406779661017
H2TN060302014,"BLACKBURN, MARSHA MRS.                                                                                                                                                                                  ",REP,1,292,0.4623287671232877,0.0136986301369863,0.2945205479452055
H2TN081272012,"DIXON, TIMOTHY D                                                                                                                                                                                        ",DEM,0,20,0.25,0.5,0.1
H2TN081272012,"DIXON, TIMOTHY D                                                                                                                                                                                        ",DEM,0,20,0.25,0.5,0.1
H2TX031182014,"JOHNSON, SAM MR.                                                                                                                                                                                        ",REP,1,278,0.43884892086330934,0.007194244604316547,0.1223021582733813
H2TX161852012,"O'ROURKE, ROBERT ''BETO''                                                                                                                                                                               ",DEM,1,320,0.446875,0.0125,0.19375
H2TX231242014,"GALLEGO, PETE                                                                                                                                                                                           ",DEM,1,2436,0.21141215106732347,0.0016420361247947454,0.14942528735632185
H2TX231242014,"GALLEGO, PETE                                                                                                                                                                                           ",DEM,0,2436,0.21141215106732347,0.0016420361247947454,0.14942528735632185
H2TX252692012,"HENDERSON, ELAINE M.                                                                                                                                                                                    ",DEM,0,54,0.05555555555555555,0.8148148148148148,0.037037037037037035
H2TX252692012,"HENDERSON, ELAINE M.                                                                                                                                                                                    ",DEM,0,54,0.05555555555555555,0.8148148148148148,0.037037037037037035
H2TX320672012,"MCGOVERN, KATHERINE SAVERS                                                                                                                                                                              ",DEM,0,84,0.2619047619047619,0.4523809523809524,0.11904761904761904
H2TX320672012,"MCGOVERN, KATHERINE SAVERS                                                                                                                                                                              ",DEM,0,84,0.2619047619047619,0.4523809523809524,0.11904761904761904
H2TX350112012,"CASTRO, JOAQUIN MR.                                                                                                                                                                                     ",DEM,1,438,0.4840182648401826,0.0045662100456621,0.182648401826484
H2UT040232012,"LOVE, MIA                                                                                                                                                                                               ",REP,1,3280,0.23597560975609755,0.0012195121951219512,0.08414634146341464
H2UT040232012,"LOVE, MIA                                                                                                                                                                                               ",REP,0,3280,0.23597560975609755,0.0012195121951219512,0.08414634146341464
H2UT040232014,"LOVE, MIA                                                                                                                                                                                               ",REP,1,4412,0.20806890299184044,0.007252946509519492,0.061650045330915684
H2UT040232014,"LOVE, MIA                                                                                                                                                                                               ",REP,0,4412,0.20806890299184044,0.007252946509519492,0.061650045330915684
H2VA020492012,"HIRSCHBIEL, PAUL ODELL JR                                                                                                                                                                               ",DEM,0,1172,0.43430034129692835,0.006825938566552901,0.15187713310580206
H2VA020492012,"HIRSCHBIEL, PAUL ODELL JR                                                                                                                                                                               ",DEM,0,1172,0.43430034129692835,0.006825938566552901,0.15187713310580206
H2WA050712012,"COWAN, RICH                                                                                                                                                                                             ",DEM,0,164,0.47560975609756095,0.024390243902439025,0.036585365853658534
H2WA050712012,"COWAN, RICH                                                                                                                                                                                             ",DEM,0,164,0.47560975609756095,0.024390243902439025,0.036585365853658534
H2WA061292012,"KILMER, DEREK                                                                                                                                                                                           ",DEM,1,662,0.4743202416918429,0.0030211480362537764,0.1148036253776435
H4AL050822014,"BRAY, MARK                                                                                                                                                                                              ",IND,0,21,0.8571428571428571,0.14285714285714285,0.09523809523809523
H4AR021332014,"HAYS, PATRICK HENRY                                                                                                                                                                                     ",DEM,0,719,0.8456189151599444,0.0013908205841446453,0.03337969401947149
H4AR040482014,"WESTERMAN, BRUCE MR.                                                                                                                                                                                    ",REP,1,309,0.9352750809061489,0.003236245954692557,0.16181229773462782
H4AR040632014,"WITT, JAMES LEE                                                                                                                                                                                         ",DEM,0,299,0.9163879598662207,0.0033444816053511705,0.06020066889632107
H4CA160492014,"LOFGREN, ZOE                                                                                                                                                                                            ",DEM,1,338,0.46449704142011833,0.005917159763313609,0.20710059171597633
H4CA210722014,"RENTERIA, AMANDA                                                                                                                                                                                        ",DEM,0,410,0.8975609756097561,0.0024390243902439024,0.10975609756097561
H4CA411202014,"ADAMS, STEVE                                                                                                                                                                                            ",REP,0,113,0.8761061946902655,0.008849557522123894,0.08849557522123894
H4CA420862014,"SHERIDAN, TIMOTHY J                                                                                                                                                                                     ",DEM,0,22,0.6818181818181818,0.2727272727272727,0.09090909090909091
H4CA461292014,"NICK, ADAM                                                                                                                                                                                              ",REP,0,4,0.75,0.25,0.25
H4CO060872014,"ROMANOFF, ANDREW                                                                                                                                                                                        ",DEM,0,1603,0.827199001871491,0.0018714909544603868,0.09669369931378664
H4FL031102014,"WHEELER, MARIHELEN HADDOCK                                                                                                                                                                              ",DEM,0,35,0.7142857142857143,0.2,0.02857142857142857
H4FL090832014,"PLATT, CAROL                                                                                                                                                                                            ",REP,0,50,0.98,0.02,0.26
H4FL110712014,"KOLLER, DAVID C                                                                                                                                                                                         ",DEM,0,37,0.1891891891891892,0.08108108108108109,0.16216216216216217
H4FL130772014,"OVERBY, LUCAS                                                                                                                                                                                           ",LPF,0,14,0.7857142857142857,0.21428571428571427,0.07142857142857142
H4IA010692014,"MURPHY, PATRICK JOSEPH                                                                                                                                                                                  ",DEM,0,381,0.8057742782152231,0.0026246719160104987,0.049868766404199474
H4IA030652014,"APPEL, STACI                                                                                                                                                                                            ",DEM,0,729,0.7462277091906722,0.0054869684499314125,0.08093278463648834
H4IL081262014,"KAIFESH, LAWRENCE JOSEPH                                                                                                                                                                                ",REP,0,132,0.803030303030303,0.022727272727272728,0.13636363636363635
H4IL120602014,"BOST, MICHAEL J                                                                                                                                                                                         ",REP,1,455,0.8681318681318682,0.002197802197802198,0.14505494505494507
H4IL131752014,"CALLIS, ANN                                                                                                                                                                                             ",DEM,0,661,0.800302571860817,0.007564296520423601,0.09228441754916793
H4KY020892014,"LEACH, RONALD ALLEN                                                                                                                                                                                     ",DEM,0,132,0.13636363636363635,0.7121212121212122,0.022727272727272728
H4LA052212014,"ABRAHAM, RALPH LEE                                                                                                                                                                                      ",REP,1,56,0.8928571428571429,0.10714285714285714,0.05357142857142857
H4LA070292012,"BOUSTANY, JR, CHARLES W.                                                                                                                                                                                ",REP,1,736,0.46875,0.002717391304347826,0.2608695652173913
H4MA060332014,"TIERNEY, JOHN F                                                                                                                                                                                         ",DEM,1,384,0.21354166666666666,0.015625,0.3489583333333333
H4MA061242014,"STOCKWELL, CHRISTOPHER JOHN                                                                                                                                                                             ",NNE,0,45,0.3333333333333333,0.5111111111111111,0.044444444444444446
H4MD051692014,"CHAFFEE, CHRISTOPHER PARRY                                                                                                                                                                              ",REP,0,27,0.1111111111111111,0.5185185185185185,0.037037037037037035
H4ME022342014,"POLIQUIN, BRUCE L                                                                                                                                                                                       ",REP,1,515,0.8757281553398059,0.007766990291262136,0.2524271844660194
H4MI011142014,"CANNON, JERRY                                                                                                                                                                                           ",DEM,0,125,0.856,0.016,0.056
H4MI120612014,"BOWMAN, TERRENCE MICHAEL                                                                                                                                                                                ",REP,0,16,0.6875,0.125,0.1875
H4MT000682014,"LEWIS, JOHN                                                                                                                                                                                             ",DEM,0,559,0.8193202146690519,0.0035778175313059034,0.04830053667262969
H4NC071002014,"CASTEEN, J WESLEY                                                                                                                                                                                       ",LIB,0,22,0.8181818181818182,0.09090909090909091,0.13636363636363635
H4NC121342014,"COAKLEY, VINCENT EDWARD                                                                                                                                                                                 ",REP,0,125,0.88,0.016,0.088
H4ND000462014,"SINNER, GEORGE B                                                                                                                                                                                        ",DEM,0,561,0.8787878787878788,0.0017825311942959,0.0338680926916221
H4NJ010922014,"COBB, GARY WILBERT                                                                                                                                                                                      ",REP,0,53,0.7924528301886793,0.1320754716981132,0.1320754716981132
H4NJ021402014,"HUGHES, WILLIAM J JR                                                                                                                                                                                    ",DEM,0,202,0.8762376237623762,0.019801980198019802,0.09405940594059406
H4NJ031062014,"BELGARD, AIMEE                                                                                                                                                                                          ",DEM,0,612,0.8186274509803921,0.03758169934640523,0.06535947712418301
H4NY191152014,"ELDRIDGE, SEAN                                                                                                                                                                                          ",DEM,0,476,0.9054621848739496,0.02100840336134454,0.3697478991596639
H4NY211032014,"WOOLF, AARON                                                                                                                                                                                            ",DEM,0,447,0.9239373601789709,0.0022371364653243847,0.16554809843400448
H4NY230672014,"ROBERTSON, MARTHA                                                                                                                                                                                       ",DEM,0,753,0.7636122177954847,0.0013280212483399733,0.04249667994687915
H4NY270762014,"HIGGINS, BRIAN                                                                                                                                                                                          ",DEM,1,92,0.4782608695652174,0.021739130434782608,0.08695652173913043
H4OH060742014,"GARRISON, JENNIFER D                                                                                                                                                                                    ",DEM,0,111,0.7837837837837838,0.11711711711711711,0.05405405405405406
H4OH141022014,"WAGER, MICHAEL                                                                                                                                                                                          ",DEM,0,392,0.39285714285714285,0.015306122448979591,0.16326530612244897
H4OH141022014,"WAGER, MICHAEL                                                                                                                                                                                          ",DEM,0,392,0.39285714285714285,0.015306122448979591,0.16326530612244897
H4PA070922014,"BALCHUNIS, MARY ELLEN                                                                                                                                                                                   ",DEM,0,61,0.639344262295082,0.19672131147540983,0.03278688524590164
H4PA081082014,"STROUSE, KEVIN                                                                                                                                                                                          ",DEM,0,381,0.8582677165354331,0.0026246719160104987,0.11286089238845144
H4PA100622014,"TROIANO, NICHOLAS ROBERT                                                                                                                                                                                ",IND,0,72,0.6666666666666666,0.19444444444444445,0.1111111111111111
H4TX100932014,"MCCAUL, MICHAEL                                                                                                                                                                                         ",REP,1,564,0.4397163120567376,0.0035460992907801418,0.16666666666666666
H4TX191022014,"NEUGEBAUER, RANDY HONORABLE                                                                                                                                                                             ",REP,1,174,0.4827586206896552,0.011494252873563218,0.25287356321839083
H4TX280462012,"CANSECO, FRANCISCO RAUL QUICO R.                                                                                                                                                                        ",REP,0,848,0.4492924528301887,0.0023584905660377358,0.14622641509433962
H4VA071502014,"TRAMMELL, JOHN K                                                                                                                                                                                        ",DEM,0,369,0.8319783197831978,0.0027100271002710027,0.04878048780487805
H4VA100892014,"COMSTOCK, BARBARA J                                                                                                                                                                                     ",REP,1,1216,0.9078947368421053,0.001644736842105263,0.15378289473684212
